Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
MARI,Mahaka Radio Integra Tbk.,11 Feb 2016,5.252.644.000,Pemantauan Khusus
MKNT,Mitra Komunikasi Nusantara Tbk,26 Okt 2015,5.500.000.000,Pemantauan Khusus
MTRA,Mitra Pemuda Tbk.,10 Feb 2016,770.000.000,Pemantauan Khusus
OASA,Maharaksa Biru Energi Tbk.,18 Jul 2016,6.347.220.000,Pengembangan
POWR,Cikarang Listrindo Tbk.,14 Jun 2016,16.087.156.000,Utama
INCF,Indo Komoditi Korpora Tbk.,06 Sep 2016,1.438.370.465,Pemantauan Khusus
WSBP,Waskita Beton Precast Tbk.,20 Sep 2016,56.780.478.486,Pemantauan Khusus
PBSA,Paramita Bangun Sarana Tbk.,28 Sep 2016,3.000.000.000,Pengembangan
PRDA,Prodia Widyahusada Tbk.,07 Des 2016,937.500.000,Utama
BOGA,Bintang Oto Global Tbk.,19 Des 2016,3.803.526.210,Pengembangan
BRIS,Bank Syariah Indonesia Tbk.,09 Mei 2018,45.667.877.639,Utama
PORT,Nusantara Pelabuhan Handal Tbk,16 Mar 2017,2.813.941.985,Pengembangan
CARS,Industri dan Perdagangan Bintr,10 Apr 2017,15.000.000.000,Utama
MINA,Sanurhasta Mitra Tbk.,28 Apr 2017,9.843.750.000,Pengembangan
CLEO,Sariguna Primatirta Tbk.,05 Mei 2017,24.000.000.000,Utama
TAMU,Pelayaran Tamarin Samudra Tbk.,10 Mei 2017,37.500.000.000,Pemantauan Khusus
CSIS,Cahayasakti Investindo Sukses ,10 Mei 2017,1.307.000.000,Pengembangan
TGRA,Terregra Asia Energy Tbk.,16 Mei 2017,2.750.000.000,Pemantauan Khusus
FIRE,Alfa Energi Investama Tbk.,09 Jun 2017,1.475.363.179,Pengembangan
TOPS,Totalindo Eka Persada Tbk.,16 Jun 2017,33.330.000.000,Pemantauan Khusus
KMTR,Kirana Megatara Tbk.,19 Jun 2017,8.215.366.379,Pengembangan
ARMY,Armidian Karyatama Tbk.,21 Jun 2017,9.006.250.000,Pemantauan Khusus
MAPB,MAP Boga Adiperkasa Tbk.,21 Jun 2017,2.387.922.900,Pengembangan
WOOD,Integra Indocabinet Tbk.,21 Jun 2017,6.437.500.000,Utama
HRTA,Hartadinata Abadi Tbk.,21 Jun 2017,4.605.262.400,Utama
MABA,Marga Abhinaya Abadi Tbk.,22 Jun 2017,15.365.229.912,Pemantauan Khusus
HOKI,Buyung Poetra Sembada Tbk.,22 Jun 2017,9.677.752.680,Pengembangan
MPOW,Megapower Makmur Tbk.,05 Jul 2017,816.997.053,Pengembangan
MARK,Mark Dynamics Indonesia Tbk.,12 Jul 2017,3.800.000.310,Utama
NASA,Andalan Perkasa Abadi Tbk.,07 Agt 2017,11.004.929.322,Pemantauan Khusus
MDKI,Emdeki Utama Tbk.,25 Sep 2017,2.530.150.002,Pengembangan
BELL,Trisula Textile Industries Tbk,03 Okt 2017,7.250.000.000,Pengembangan
KIOS,Kioson Komersial Indonesia Tbk,05 Okt 2017,1.075.862.960,Pengembangan
GMFI,Garuda Maintenance Facility Ae,10 Okt 2017,120.453.055.611,Pemantauan Khusus
MTWI,Malacca Trust Wuwungan Insuran,12 Okt 2017,2.924.486.639,Pengembangan
ZINC,Kapuas Prima Coal Tbk.,16 Okt 2017,25.250.000.000,Pemantauan Khusus
MCAS,M Cash Integrasi Tbk.,01 Nov 2017,867.933.300,Utama
PPRE,PP Presisi Tbk.,24 Nov 2017,10.224.271.000,Pengembangan
WEGE,Wijaya Karya Bangunan Gedung T,30 Nov 2017,9.572.000.000,Pengembangan
PSSI,IMC Pelita Logistik Tbk.,05 Des 2017,5.417.063.153,Utama
MORA,Mora Telematika Indonesia Tbk.,08 Agt 2022,23.646.668.691,Utama
DWGL,Dwi Guna Laksana Tbk.,13 Des 2017,9.252.820.991,Pengembangan
PBID,Panca Budi Idaman Tbk.,13 Des 2017,7.500.000.000,Utama
JMAS,Asuransi Jiwa Syariah Jasa Mit,18 Des 2017,1.000.000.000,Pengembangan
CAMP,Campina Ice Cream Industry Tbk,19 Des 2017,5.885.000.000,Pengembangan
IPCM,Jasa Armada Indonesia Tbk.,22 Des 2017,5.284.811.100,Utama
PCAR,Prima Cakrawala Abadi Tbk.,29 Des 2017,1.166.666.700,Pemantauan Khusus
LCKM,LCK Global Kedaton Tbk.,16 Jan 2018,1.000.000.000,Pengembangan
BOSS,Borneo Olah Sarana Sukses Tbk.,15 Feb 2018,1.400.000.000,Pemantauan Khusus
HELI,Jaya Trishindo Tbk.,27 Mar 2018,832.862.387,Pengembangan
JSKY,Sky Energy Indonesia Tbk.,28 Mar 2018,2.032.540.000,Pemantauan Khusus
INPS,Indah Prakasa Sentosa Tbk.,06 Apr 2018,650.000.000,Pemantauan Khusus
GHON,Gihon Telekomunikasi Indonesia,09 Apr 2018,550.000.000,Pengembangan
TDPM,Tianrong Chemicals Industry Tb,09 Apr 2018,10.485.050.500,Pemantauan Khusus
DFAM,Dafam Property Indonesia Tbk.,27 Apr 2018,1.899.852.850,Pengembangan
NICK,Charnic Capital Tbk.,02 Mei 2018,651.150.000,Pengembangan
BTPS,Bank BTPN Syariah Tbk.,08 Mei 2018,7.626.663.000,Utama
SPTO,Surya Pertiwi Tbk.,14 Mei 2018,2.700.000.000,Utama
PRIM,Royal Prima Tbk.,15 Mei 2018,3.393.434.905,Pengembangan
HEAL,Medikaloka Hermina Tbk.,16 Mei 2018,15.365.950.000,Utama
TRUK,Guna Timur Raya Tbk.,23 Mei 2018,435.000.000,Pengembangan
PZZA,Sarimelati Kencana Tbk.,23 Mei 2018,3.021.875.000,Pengembangan
TUGU,Asuransi Tugu Pratama Indonesi,28 Mei 2018,3.555.575.600,Utama
MSIN,MNC Digital Entertainment Tbk.,08 Jun 2018,60.676.178.205,Utama
SWAT,Sriwahana Adityakarta Tbk.,08 Jun 2018,3.019.200.000,Pemantauan Khusus
TNCA,Trimuda Nuansa Citra Tbk.,28 Jun 2018,421.640.000,Pengembangan
MAPA,Map Aktif Adiperkasa Tbk.,05 Jul 2018,28.504.000.000,Utama
TCPI,Transcoal Pacific Tbk.,06 Jul 2018,5.000.000.000,Pengembangan
IPCC,Indonesia Kendaraan Terminal T,09 Jul 2018,1.818.384.820,Utama
RISE,Jaya Sukses Makmur Sentosa Tbk,09 Jul 2018,10.945.000.000,Pengembangan
BPTR,Batavia Prosperindo Trans Tbk.,09 Jul 2018,3.534.000.000,Pengembangan
POLL,Pollux Properties Indonesia Tb,11 Jul 2018,8.318.823.600,Pemantauan Khusus
NFCX,NFC Indonesia Tbk.,12 Jul 2018,666.667.500,Pengembangan
MGRO,Mahkota Group Tbk.,12 Jul 2018,3.554.445.700,Pengembangan
NUSA,Sinergi Megah Internusa Tbk.,12 Jul 2018,7.700.000.148,Pemantauan Khusus
FILM,MD Entertainment Tbk.,07 Agt 2018,10.887.566.758,Utama
ANDI,Andira Agro Tbk.,16 Agt 2018,9.350.000.000,Pemantauan Khusus
LAND,Trimitra Propertindo Tbk.,23 Agt 2018,2.792.620.000,Pemantauan Khusus
MOLI,Madusari Murni Indah Tbk.,30 Agt 2018,2.724.036.581,Pengembangan
PANI,Pantai Indah Kapuk Dua Tbk.,18 Sep 2018,18.117.025.598,Utama
DIGI,Arkadia Digital Media Tbk.,18 Sep 2018,1.625.000.000,Pemantauan Khusus
CITY,Natura City Developments Tbk.,28 Sep 2018,5.405.188.966,Pengembangan
SAPX,Satria Antaran Prima Tbk.,03 Okt 2018,833.333.300,Pengembangan
SURE,Super Energy Tbk.,05 Okt 2018,1.497.576.771,Pengembangan
HKMU,HK Metals Utama Tbk.,09 Okt 2018,3.221.750.000,Pemantauan Khusus
MPRO,Maha Properti Indonesia Tbk.,09 Okt 2018,9.942.500.000,Pengembangan
DUCK,Jaya Bersama Indo Tbk.,10 Okt 2018,1.283.330.000,Pemantauan Khusus
GOOD,Garudafood Putra Putri Jaya Tb,10 Okt 2018,36.897.901.455,Utama
SKRN,Superkrane Mitra Utama Tbk.,11 Okt 2018,7.500.000.000,Utama
YELO,Yelooo Integra Datanet Tbk.,29 Okt 2018,1.912.774.405,Pemantauan Khusus
CAKK,Cahayaputra Asa Keramik Tbk.,31 Okt 2018,1.203.300.219,Pengembangan
SATU,Kota Satu Properti Tbk.,05 Nov 2018,1.375.000.000,Pengembangan
SOSS,Shield On Service Tbk.,06 Nov 2018,799.414.231,Pemantauan Khusus
DEAL,Dewata Freightinternational Tb,11 Nov 2018,1.146.170.959,Pemantauan Khusus
POLA,Pool Advista Finance Tbk.,16 Nov 2018,3.351.075.600,Pemantauan Khusus
DIVA,Distribusi Voucher Nusantara T,27 Nov 2018,1.428.571.400,Pengembangan
LUCK,Sentral Mitra Informatika Tbk.,28 Nov 2018,715.749.640,Pengembangan
URBN,Urban Jakarta Propertindo Tbk.,10 Des 2018,3.232.122.640,Pengembangan
SOTS,Satria Mega Kencana Tbk.,10 Des 2018,1.000.003.979,Pemantauan Khusus
ZONE,Mega Perintis Tbk.,12 Des 2018,870.171.478,Pengembangan
PEHA,Phapros Tbk.,26 Des 2018,840.000.000,Pengembangan
FOOD,Sentra Food Indonesia Tbk.,08 Jan 2019,650.000.000,Pemantauan Khusus
BEEF,Estika Tata Tiara Tbk.,10 Jan 2019,8.120.249.598,Pengembangan
POLI,Pollux Hotels Group Tbk.,10 Jan 2019,2.010.526.400,Pemantauan Khusus
CLAY,Citra Putra Realty Tbk.,18 Jan 2019,2.570.000.000,Pengembangan
NATO,Surya Permata Andalan Tbk.,18 Jan 2019,8.001.111.504,Pemantauan Khusus
JAYA,Armada Berjaya Trans Tbk.,21 Feb 2019,798.499.394,Pengembangan
COCO,Wahana Interfood Nusantara Tbk,20 Mar 2019,3.559.455.924,Pengembangan
MTPS,Meta Epsi Tbk.,10 Apr 2019,2.084.850.829,Pemantauan Khusus
CPRI,Capri Nusa Satu Properti Tbk.,11 Apr 2019,2.433.379.958,Pemantauan Khusus
HRME,Menteng Heritage Realty Tbk.,12 Apr 2019,5.958.750.000,Pemantauan Khusus
POSA,Bliss Properti Indonesia Tbk.,10 Mei 2019,8.388.870.206,Pemantauan Khusus
JAST,Jasnita Telekomindo Tbk.,16 Mei 2019,1.082.575.738,Pengembangan
FITT,Hotel Fitra International Tbk.,11 Jun 2019,1.304.272.051,Pengembangan
BOLA,Bali Bintang Sejahtera Tbk.,17 Jun 2019,6.000.000.000,Utama
CCSI,Communication Cable Systems In,18 Jun 2019,1.333.333.331,Pengembangan
SFAN,Surya Fajar Capital Tbk.,19 Jun 2019,1.359.934.021,Pengembangan
POLU,Golden Flower Tbk.,26 Jun 2019,750.000.000,Pengembangan
KJEN,Krida Jaringan Nusantara Tbk.,01 Jul 2019,500.000.000,Pengembangan
KAYU,Darmi Bersaudara Tbk.,04 Jul 2019,665.000.000,Pemantauan Khusus
ITIC,Indonesian Tobacco Tbk.,04 Jul 2019,940.720.000,Pengembangan
PAMG,Bima Sakti Pertiwi Tbk.,05 Jul 2019,3.125.000.000,Pengembangan
IPTV,MNC Vision Networks Tbk.,08 Jul 2019,42.197.950.841,Pemantauan Khusus
BLUE,Berkah Prima Perkasa Tbk.,08 Jul 2019,418.000.000,Pengembangan
ENVY,Envy Technologies Indonesia Tb,08 Jul 2019,1.800.000.000,Pemantauan Khusus
EAST,Eastparc Hotel Tbk.,09 Jul 2019,4.126.405.336,Pengembangan
LIFE,MSIG Life Insurance Indonesia ,09 Jul 2019,2.100.000.000,Pengembangan
FUJI,Fuji Finance Indonesia Tbk.,09 Jul 2019,1.300.000.000,Pengembangan
KOTA,DMS Propertindo Tbk.,09 Jul 2019,10.546.185.701,Pemantauan Khusus
INOV,Inocycle Technology Group Tbk.,10 Jul 2019,1.808.221.900,Pengembangan
ARKA,Arkha Jayanti Persada Tbk.,10 Jul 2019,2.000.000.000,Pemantauan Khusus
SMKL,Satyamitra Kemas Lestari Tbk.,11 Jul 2019,3.418.085.290,Pengembangan
HDIT,Hensel Davest Indonesia Tbk.,12 Jul 2019,1.524.680.000,Pengembangan
KEEN,Kencana Energi Lestari Tbk.,02 Sep 2019,3.666.312.500,Utama
BAPI,Bhakti Agung Propertindo Tbk.,16 Sep 2019,5.591.980.103,Pemantauan Khusus
TFAS,Telefast Indonesia Tbk.,17 Sep 2019,1.666.666.500,Pengembangan
GGRP,Gunung Raja Paksi Tbk.,19 Sep 2019,12.111.376.157,Pengembangan
OPMS,Optima Prima Metal Sinergi Tbk,23 Sep 2019,1.000.000.000,Pengembangan
NZIA,Nusantara Almazia Tbk.,25 Sep 2019,2.197.540.705,Pengembangan
SLIS,Gaya Abadi Sempurna Tbk.,07 Okt 2019,2.463.338.061,Pengembangan
PURE,Trinitan Metals and Minerals T,09 Okt 2019,1.375.181.505,Pemantauan Khusus
IRRA,Itama Ranoraya Tbk.,15 Okt 2019,1.600.000.000,Pengembangan
DMMX,Digital Mediatama Maxima Tbk.,21 Okt 2019,7.692.307.700,Pengembangan
SINI,Singaraja Putra Tbk.,08 Nov 2019,481.000.000,Pemantauan Khusus
WOWS,Ginting Jaya Energi Tbk.,08 Nov 2019,2.475.720.000,Pengembangan
ESIP,Sinergi Inti Plastindo Tbk.,14 Nov 2019,1.109.953.847,Pengembangan
TEBE,Dana Brata Luhur Tbk.,18 Nov 2019,1.285.000.000,Utama
KEJU,Mulia Boga Raya Tbk.,25 Nov 2019,5.624.999.999,Utama
PSGO,Palma Serasih Tbk.,25 Nov 2019,18.850.000.000,Utama
AGAR,Asia Sejahtera Mina Tbk.,02 Des 2019,1.000.000.000,Pengembangan
IFSH,Ifishdeco Tbk.,05 Des 2019,2.125.000.000,Pengembangan
REAL,Repower Asia Indonesia Tbk.,06 Des 2019,6.633.610.151,Pengembangan
IFII,Indonesia Fibreboard Industry ,10 Des 2019,9.412.000.000,Pengembangan
PMJS,Putra Mandiri Jembar Tbk.,18 Des 2019,13.755.600.000,Pengembangan
UCID,Uni-Charm Indonesia Tbk.,20 Des 2019,4.156.572.300,Utama
GLVA,Galva Technologies Tbk.,23 Des 2019,1.500.000.000,Pengembangan
PGJO,Bahtera Bumi Raya Tbk.,08 Jan 2020,795.859.095,Akselerasi
AMAR,Bank Amar Indonesia Tbk.,09 Jan 2020,18.197.283.760,Pengembangan
CSRA,Cisadane Sawit Raya Tbk.,09 Jan 2020,2.050.000.000,Utama
INDO,Royalindo Investa Wijaya Tbk.,13 Jan 2020,4.480.741.638,Pengembangan
AMOR,Ashmore Asset Management Indon,14 Jan 2020,2.222.222.400,Pengembangan
TRIN,Perintis Triniti Properti Tbk.,15 Jan 2020,4.551.457.789,Pengembangan
DMND,Diamond Food Indonesia Tbk.,22 Jan 2020,9.468.359.000,Pengembangan
PURA,Putra Rajawali Kencana Tbk.,29 Jan 2020,6.301.930.902,Pemantauan Khusus
PTPW,Pratama Widya Tbk.,07 Feb 2020,878.187.500,Pengembangan
TAMA,Lancartama Sejati Tbk.,10 Feb 2020,1.200.000.696,Pemantauan Khusus
IKAN,Era Mandiri Cemerlang Tbk.,12 Feb 2020,833.333.000,Pengembangan
SAMF,Saraswanti Anugerah Makmur Tbk,31 Mar 2020,10.250.000.000,Utama
SBAT,Sejahtera Bintang Abadi Textil,08 Apr 2020,4.752.982.378,Pemantauan Khusus
KBAG,Karya Bersama Anugerah Tbk.,08 Apr 2020,7.150.002.603,Pemantauan Khusus
CBMF,Cahaya Bintang Medan Tbk.,09 Apr 2020,1.875.000.000,Pemantauan Khusus
RONY,Aracord Nusantara Group Tbk.,09 Apr 2020,1.250.000.000,Pengembangan
CSMI,Cipta Selera Murni Tbk.,09 Apr 2020,816.061.500,Pengembangan
BBSS,Bumi Benowo Sukses Sejahtera T,15 Apr 2020,4.800.016.020,Pengembangan
BHAT,Bhakti Multi Artha Tbk.,15 Apr 2020,5.000.000.000,Pengembangan
CASH,Cashlez Worldwide Indonesia Tb,04 Mei 2020,1.431.125.517,Akselerasi
TECH,Indosterling Technomedia Tbk.,04 Jun 2020,1.256.300.000,Pemantauan Khusus
EPAC,Megalestari Epack Sentosaraya ,01 Jul 2020,3.303.400.000,Pemantauan Khusus
UANG,Pakuan Tbk.,06 Jul 2020,1.210.000.000,Pengembangan
PGUN,Pradiksi Gunatama Tbk.,07 Jul 2020,5.737.848.882,Pengembangan
SOFA,Boston Furniture Industries Tb,07 Jul 2020,1.653.574.499,Akselerasi
PPGL,Prima Globalindo Logistik Tbk.,20 Jul 2020,771.178.020,Akselerasi
TOYS,Sunindo Adipersada Tbk.,06 Agt 2020,1.435.000.712,Pemantauan Khusus
SGER,Sumber Global Energy Tbk.,10 Agt 2020,15.586.909.438,Utama
TRJA,Transkon Jaya Tbk.,27 Agt 2020,1.510.200.000,Pengembangan
PNGO,Pinago Utama Tbk.,31 Agt 2020,781.250.000,Utama
SCNP,Selaras Citra Nusantara Perkas,07 Sep 2020,2.500.000.000,Pengembangan
BBSI,Krom Bank Indonesia Tbk.,07 Sep 2020,3.637.976.068,Utama
KMDS,Kurniamitra Duta Sentosa Tbk.,07 Sep 2020,800.000.000,Pengembangan
PURI,Puri Global Sukses Tbk.,08 Sep 2020,1.000.000.000,Pengembangan
SOHO,Soho Global Health Tbk.,08 Sep 2020,12.691.682.390,Pengembangan
HOMI,Grand House Mulia Tbk.,10 Sep 2020,1.575.000.000,Pengembangan
ROCK,Rockfields Properti Indonesia ,10 Sep 2020,1.435.185.100,Pemantauan Khusus
ENZO,Morenzo Abadi Perkasa Tbk.,14 Sep 2020,2.162.547.122,Pemantauan Khusus
PLAN,Planet Properindo Jaya Tbk.,15 Sep 2020,896.709.596,Akselerasi
PTDU,Djasa Ubersakti Tbk.,08 Des 2020,1.500.000.000,Pemantauan Khusus
ATAP,Trimitra Prawara Goldland Tbk.,11 Des 2020,1.250.000.000,Pengembangan
VICI,Victoria Care Indonesia Tbk.,17 Des 2020,6.708.000.000,Utama
PMMP,Panca Mitra Multiperdana Tbk.,18 Des 2020,2.588.300.000,Pemantauan Khusus
BANK,Bank Aladin Syariah Tbk.,01 Feb 2021,14.621.944.454,Pengembangan
WMUU,Widodo Makmur Unggas Tbk.,02 Feb 2021,12.941.176.500,Pemantauan Khusus
EDGE,Indointernet Tbk.,08 Feb 2021,2.020.250.000,Pengembangan
UNIQ,Ulima Nitra Tbk.,08 Mar 2021,3.138.983.000,Utama
BEBS,Berkah Beton Sadaya Tbk.,10 Mar 2021,45.000.000.000,Pemantauan Khusus
SNLK,Sunter Lakeside Hotel Tbk.,29 Mar 2021,450.000.000,Pengembangan
ZYRX,Zyrexindo Mandiri Buana Tbk.,30 Mar 2021,1.333.334.556,Pengembangan
LFLO,Imago Mulia Persada Tbk.,07 Apr 2021,1.307.734.937,Akselerasi
FIMP,Fimperkasa Utama Tbk.,09 Apr 2021,400.000.975,Pemantauan Khusus
TAPG,Triputra Agro Persada Tbk.,12 Apr 2021,19.852.540.000,Utama
NPGF,Nusa Palapa Gemilang Tbk.,14 Apr 2021,3.240.235.840,Pengembangan
LUCY,Lima Dua Lima Tiga Tbk.,05 Mei 2021,1.514.773.893,Akselerasi
ADCP,Adhi Commuter Properti Tbk.,21 Mei 2021,22.222.222.200,Pengembangan
HOPE,Harapan Duta Pertiwi Tbk.,24 Mei 2021,2.130.360.203,Pengembangan
MGLV,Panca Anugrah Wisesa Tbk.,08 Jun 2021,1.904.883.411,Akselerasi
TRUE,Triniti Dinamik Tbk.,10 Jun 2021,7.571.107.860,Pengembangan
LABA,Green Power Group Tbk.,10 Jun 2021,1.103.402.553,Pengembangan
ARCI,Archi Indonesia Tbk.,28 Jun 2021,25.235.000.000,Pengembangan
IPAC,Era Graharealty Tbk.,30 Jun 2021,949.868.500,Akselerasi
MASB,Bank Multiarta Sentosa Tbk.,30 Jun 2021,1.387.737.233,Pengembangan
BMHS,Bundamedik Tbk.,06 Jul 2021,8.603.416.176,Utama
FLMC,Falmaco Nonwoven Industri Tbk.,08 Jul 2021,781.250.000,Akselerasi
NICL,PAM Mineral Tbk.,09 Jul 2021,10.635.644.907,Pengembangan
UVCR,Trimegah Karya Pratama Tbk.,27 Jul 2021,2.000.144.838,Pengembangan
BUKA,Bukalapak.com Tbk.,06 Agt 2021,103.148.706.067,Ekonomi Baru
HAIS,Hasnur Internasional Shipping ,01 Sep 2021,2.626.250.000,Pengembangan
OILS,Indo Oil Perkasa Tbk.,06 Sep 2021,454.056.563,Pengembangan
GPSO,Geoprima Solusi Tbk.,06 Sep 2021,666.741.103,Pengembangan
MCOL,Prima Andalan Mandiri Tbk.,07 Sep 2021,3.555.560.000,Utama
RSGK,Kedoya Adyaraya Tbk.,08 Sep 2021,929.675.000,Pemantauan Khusus
RUNS,Global Sukses Solusi Tbk.,08 Sep 2021,983.557.875,Akselerasi
SBMA,Surya Biru Murni Acetylene Tbk,08 Sep 2021,929.926.282,Pengembangan
CMNT,Cemindo Gemilang Tbk.,08 Sep 2021,17.125.504.000,Pengembangan
GTSI,GTS Internasional Tbk.,08 Sep 2021,15.819.142.767,Utama
IDEA,Idea Indonesia Akademi Tbk.,09 Sep 2021,1.062.437.500,Akselerasi
KUAS,Ace Oldfields Tbk.,25 Okt 2021,1.292.808.150,Pengembangan
BOBA,Formosa Ingredient Factory Tbk,01 Nov 2021,1.155.750.000,Pengembangan
